Cnpj,RazaoSocial,ValorMaximo,Periodicidade
33479023,BANCO CITIBANK S.A.,200,A cada 30 dias
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,80,A cada 1 dias
33172537,BANCO J.P. MORGAN S.A.,50,A cada 30 dias
24048910,COOPERATIVA DE CRÉDITO CREDINTER LTDA. - SICOOB CREDINTER,"43,7",A cada 90 dias
2641969,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC,40,A cada 1 dias
22724710,COOPERATIVA DE CRÉDITO CREDIVERTENTES LTDA. - SICOOB CREDIVERTENTES,30,A cada 30 dias
81607046,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS,26,A cada 30 dias
4181542,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT,15,A cada 90 dias
25387713,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL,10,A cada 30 dias
3017677,BANCO J. SAFRA S.A.,"2,7",A cada 30 dias
61820817,BANCO PAULISTA S.A.,1,A cada 1 dias
429890,COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO,"0,5",A cada 30 dias
91018408,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS DO GRUPO DANA - COOPDANA,0,-
68987,COOPERATIVA DE CRÉDITO SICOOB ARACREDI LTDA - SICOOB ARACREDI,0,-
71154256,COOPERATIVA DE CRÉDITO SACRAMENTO LTDA - SICOOB SACRAMENTO,0,-
92894922,BANCO ORIGINAL S.A.,0,-
1705236,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PROSPERAR LTDA. - UNICRED PROSPERAR,0,-
20833976,COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE TIMÓTEO LTDA. - COOPERTIM,0,-
71237184,COOPERATIVA DE CRÉDITO CREDIBELO LTDA. - SICOOB CREDIBELO,0,-
88043187,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PROLEC GE BRASIL TRANSMISSÃO DE ENERGIA S.A.,0,-
42873828,COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI,0,-
5790149,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP,0,-
24933830,BB-BANCO DE INVESTIMENTO S/A,0,-
8055016,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL INTERAÇÃO,0,-
694877,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO BRASIL CENTRAL LTDA. - SICOOB EXECUTIVO,0,-
26359745,COOPERATIVA DE CRÉDITO SICOOBMAIS  LTDA. - SICOOBMAIS,0,-
83315408,SICREDI NORTE - COOPERATIVA DE CRÉDITO,0,-
8240446,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM,0,-
37255049,SICOOB CREDIGOIÁS COOPERATIVA DE CRÉDITO LTDA.,0,-
1259518,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA,0,-
33264668,BANCO XP S.A.,0,-
