Cnpj,RazaoSocial,ValorMaximo,Periodicidade
9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",20000,A cada 30 dias
31880826,BANCO GUANABARA S.A.,10000,A cada 180 dias
45246410,BANCO GENIAL S.A.,10000,A cada 360 dias
59118133,BANCO LUSO BRASILEIRO S.A.,1000,A cada 180 dias
61088183,BANCO MIZUHO DO BRASIL S.A.,1000,A cada 30 dias
55230916,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO,1000,A cada 360 dias
58616418,BANCO FIBRA S.A.,1000,A cada 30 dias
62144175,BANCO PINE S.A.,700,A cada 30 dias
68900810,BANCO RENDIMENTO S.A.,500,A cada 30 dias
61820817,BANCO PAULISTA S.A.,500,A cada 30 dias
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,500,A cada 30 dias
61033106,BANCO CREFISA S.A.,500,A cada 30 dias
31895683,BANCO INDUSTRIAL DO BRASIL S.A.,500,A cada 30 dias
33644196,BANCO FATOR S.A.,500,A cada 180 dias
517645,BANCO RIBEIRAO PRETO S.A.,500,A cada 30 dias
33603457,BANCO RODOBENS S.A.,500,A cada 30 dias
62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,500,A cada 30 dias
28195667,BANCO ABC BRASIL S.A.,500,A cada 180 dias
416968,BANCO INTER S.A.,490,A cada 180 dias
1522368,BANCO BNP PARIBAS BRASIL S.A.,400,A cada 30 dias
33466988,BANCO CAIXA GERAL - BRASIL S.A.,400,A cada 30 dias
74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,300,A cada 180 dias
5841967,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,250,A cada 365 dias
14388334,PARANÁ BANCO S.A.,250,A cada 30 dias
1705236,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PROSPERAR LTDA. - UNICRED PROSPERAR,200,A cada 30 dias
95163002,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ELEVA LTDA.,200,A cada 30 dias
