Cnpj,RazaoSocial,ValorMaximo,Periodicidade
11285104,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",200,Por evento
27842177,"IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",200,Por evento
40768766,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,200,Por evento
62232889,BANCO DAYCOVAL S.A.,"153,88",Por evento
61088183,BANCO MIZUHO DO BRASIL S.A.,150,Por evento
78632767,BANCO OURINVEST S.A.,135,Por evento
2031139,SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA,100,Por evento
4120633,COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ,100,Por evento
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,100,Por evento
8795285,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB CREDIACIL,"61,8",Por evento
81607046,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS,60,Por evento
94433109,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE,60,Por evento
23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",60,Por evento
10262276,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,52,Por evento
68900810,BANCO RENDIMENTO S.A.,50,Por evento
33132044,BANCO CEDULA S.A.,50,Por evento
17361536,COOPERATIVA DE CRÉDITO DA REGIÃO E COLAR METROPOLITANO DO VALE DO AÇO LTDA. - SICOOB COSMIPA,50,Por evento
8844074,COOPERATIVA DE CRÉDITO DE ITAPETININGA - SICOOB CRED-ACI,50,Por evento
30723886,BANCO MODAL S.A.,50,Por evento
558456,BANCO CETELEM S.A.,50,Por evento
1522368,BANCO BNP PARIBAS BRASIL S.A.,50,Por evento
6249129,"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",50,Por evento
61033106,BANCO CREFISA S.A.,50,Por evento
22724710,COOPERATIVA DE CRÉDITO CREDIVERTENTES LTDA. - SICOOB CREDIVERTENTES,50,Por evento
14388334,PARANÁ BANCO S.A.,50,Por evento
71677850,FRENTE CORRETORA DE CÂMBIO S.A.,50,Por evento
122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",50,Por evento
42887133,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO,50,Por evento
25353939,COOPERATIVA DE CRÉDITO CREDIALP LTDA - SICOOB CREDIALP,50,Por evento
25387713,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL,50,Por evento
416968,BANCO INTER S.A.,50,Por evento
14046512,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA,50,Por evento
2641969,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC,50,Por evento
4355489,COOPERATIVA DE CRÉDITO UNICRED COOMARCA LTDA. - COOMARCA,"47,73",Por evento
75847,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,"47,73",Por evento
73443863,COOPERATIVA DE CRÉDITO UNICRED VALE LTDA - UNICRED VALE,"47,73",Por evento
74114042,COOPERATIVA DE CRÉDITO UNICRED UNIÃO LTDA - UNICRED UNIÃO,"47,73",Por evento
74064502,COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL,"47,73",Por evento
1039011,COOPERATIVA DE CRÉDITO UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA,"47,73",Por evento
32422628,COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ,42,Por evento
803287,COOPERATIVA DE CRÉDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ,40,Por evento
71243034,COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA. - SICOOB CREDIJEQUITINHONHA,40,Por evento
81367880,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC,40,Por evento
795423,BANCO SEMEAR S.A.,40,Por evento
1705236,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PROSPERAR LTDA. - UNICRED PROSPERAR,39,Por evento
94243839,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DO VALE DAS ANTAS LTDA. - UNICRED PIONEIRA,39,Por evento
95163002,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ELEVA LTDA.,39,Por evento
90400888,BANCO SANTANDER (BRASIL) S.A.,39,Por evento
1572667,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ERECHIM LTDA,39,Por evento
1090027,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA,39,Por evento
92935741,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO BANRISUL,39,Por evento
1796302,COOPERATIVA DE CRÉDITO UNICRED REGIÃO DOS VALES LTDA. - UNICRED REGIÃO DOS VALES,39,Por evento
1526924,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED HORIZONTES LTDA - UNICRED HORIZONTES,39,Por evento
73750424,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED INTEGRAÇÃO LTDA.,39,Por evento
1634601,COOPERATIVA CENTRAL DE CRÉDITO UNICRED GERAÇÃO LTDA. - UNICRED CENTRAL GERAÇÃO,39,Por evento
2641032,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PONTO CAPITAL - UNICRED PONTO CAPITAL.,39,Por evento
36900256,"COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO",39,Por evento
1635462,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS DOS VALES DO TAQUARI E RIO PARDO E REGIÃO DA PRODUÇÃO LTDA. - UNICRED PREMIUM,39,Por evento
