Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Comum_para débito_saque_consultas;5241619;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT;900;A cada 365 dias
Comum_para débito_saque_consultas;10319386;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS;900;A cada 365 dias
Comum_para débito_saque_consultas;3326437;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS;900;A cada 360 dias
Comum_para débito_saque_consultas;8742188;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO;900;A cada 365 dias
Comum_para débito_saque_consultas;3612764;COOPERATIVA DE CRÉDITO  DE FRONTEIRAS  LTDA. - SICOOB FRONTEIRAS;900;A cada 365 dias
Comum_para débito_saque_consultas;5247312;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO BURITIS - SICOOB BURITIS;900;A cada 365 dias
Comum_para débito_saque_consultas;23623636;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT;900;A cada 365 dias
Comum_para débito_saque_consultas;24610065;COOPERATIVA DE CRÉDITO SICOOB IPÊ - SICOOB IPÊ;900;A cada 365 dias
Comum_para débito_saque_consultas;92816560;BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;400;A cada 365 dias
Comum_para débito_saque_consultas;7925729;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE;250;A cada 180 dias
Comum_para débito_saque_consultas;5276770;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA FRONTEIRAS PR/SC/SP/ES - CRESOL FRONTEIRAS PR/SC/SP/ES;250;A cada 180 dias
Comum_para débito_saque_consultas;4490531;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS;250;A cada 180 dias
