Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Consulta a serviços de proteção de crédito;22639377;SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;4000;Por evento
Consulta a serviços de proteção de crédito;23511655;DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.;2500;Por evento
Consulta a serviços de proteção de crédito;35479592;DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A.;2000;Por evento
Consulta a serviços de proteção de crédito;36583700;QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1500;Por evento
Consulta a serviços de proteção de crédito;59285411;BANCO PAN S.A.;1500;Por evento
Consulta a serviços de proteção de crédito;3058464;AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A;1470;Por evento
Consulta a serviços de proteção de crédito;71027866;BANCO BS2 S.A.;1000;Por evento
Consulta a serviços de proteção de crédito;11760553;GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1000;Por evento
Consulta a serviços de proteção de crédito;7512441;HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;600;Por evento
Consulta a serviços de proteção de crédito;10262276;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;600;Por evento
Consulta a serviços de proteção de crédito;11285104;NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;500;Por evento
Consulta a serviços de proteção de crédito;4307598;FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.;500;Por evento
Consulta a serviços de proteção de crédito;40768766;LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;500;Por evento
Consulta a serviços de proteção de crédito;517645;BANCO RIBEIRAO PRETO S.A.;500;Por evento
Consulta a serviços de proteção de crédito;416968;BANCO INTER S.A.;500;Por evento
Consulta a serviços de proteção de crédito;68742204;NUMBER ONE SOCIEDADE CORRETORA DE CAMBIO LTDA.;500;Por evento
Consulta a serviços de proteção de crédito;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;400;Por evento
Consulta a serviços de proteção de crédito;13059145;BEXS BANCO DE CÂMBIO S/A;350;Por evento
Consulta a serviços de proteção de crédito;11417016;SCANIA BANCO S.A.;300;Por evento
Consulta a serviços de proteção de crédito;52937216;BEXS CORRETORA DE CÂMBIO S/A;300;Por evento
Consulta a serviços de proteção de crédito;5676026;CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;300;Por evento
Consulta a serviços de proteção de crédito;42887133;COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO;300;Por evento
Consulta a serviços de proteção de crédito;2641969;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC;300;Por evento
Consulta a serviços de proteção de crédito;43818780;DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.;210;Por evento
Consulta a serviços de proteção de crédito;7693858;HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;200;Por evento
Consulta a serviços de proteção de crédito;20269566;VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;200;Por evento
Consulta a serviços de proteção de crédito;4833655;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED;200;Por evento
Consulta a serviços de proteção de crédito;59118133;BANCO LUSO BRASILEIRO S.A.;200;Por evento
Consulta a serviços de proteção de crédito;58616418;BANCO FIBRA S.A.;200;Por evento
Consulta a serviços de proteção de crédito;35274306;PINTOS S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO;190;Por evento
Consulta a serviços de proteção de crédito;11165756;GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;150;Por evento
Consulta a serviços de proteção de crédito;71479653;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DE NÍVEL SUPERIOR DE JUIZ DE FORA LTDA. - UNICRED CAMINHO NOVO;100;Por evento
Consulta a serviços de proteção de crédito;11758741;BANCO FINAXIS S.A.;100;Por evento
Consulta a serviços de proteção de crédito;1152097;COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA;100;Por evento
Consulta a serviços de proteção de crédito;5841967;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.;100;Por evento
Consulta a serviços de proteção de crédito;2031139;SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA;100;Por evento
Consulta a serviços de proteção de crédito;67030395;TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;100;Por evento
Consulta a serviços de proteção de crédito;45056494;MARMARIS CORRETORA DE CÂMBIO LTDA.;100;Por evento
Consulta a serviços de proteção de crédito;33923798;BANCO MASTER S/A;100;Por evento
Consulta a serviços de proteção de crédito;3443143;AVIPAM CORRETORA DE CAMBIO LTDA;100;Por evento
Consulta a serviços de proteção de crédito;25395435;COOPERATIVA DE CRÉDITO CREDICAF LTDA - SICOOB CREDICAF;100;Por evento
Consulta a serviços de proteção de crédito;6040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;100;Por evento
Consulta a serviços de proteção de crédito;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;100;Por evento
Consulta a serviços de proteção de crédito;122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;100;Por evento
Consulta a serviços de proteção de crédito;41753500;COOPERATIVA DE CRÉDITO CARLOS CHAGAS LTDA. - SICOOB CARLOS CHAGAS;100;Por evento
Consulta a serviços de proteção de crédito;3918382;AGENCIA DE FOMENTO DE GOIAS S/A;100;Por evento
