Cnpj,RazaoSocial,ValorMaximo,Periodicidade
80202872,CORREPARTI CORRETORA DE CAMBIO LTDA,2000,Por evento
4062902,OZ CORRETORA DE CÂMBIO S.A.,1500,Por evento
13059145,BEXS BANCO DE CÂMBIO S/A,500,Por evento
52937216,BEXS CORRETORA DE CÂMBIO S/A,500,Por evento
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,500,Por evento
14388334,PARANÁ BANCO S.A.,500,Por evento
59118133,BANCO LUSO BRASILEIRO S.A.,500,Por evento
68900810,BANCO RENDIMENTO S.A.,350,Por evento
78632767,BANCO OURINVEST S.A.,350,Por evento
13728156,WESTERN UNION CORRETORA DE CÂMBIO S.A.,250,Por evento
13720915,BANCO WESTERN UNION DO BRASIL S.A.,250,Por evento
250699,AGK CORRETORA DE CAMBIO S.A.,200,Por evento
40353377,FOURTRADE CORRETORA DE CÂMBIO LTDA.,200,Por evento
30183111,TROCKA CORRETORA DE CAMBIO LTDA.,200,Por evento
62285390,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,200,Por evento
44189447,BANCO DE LA PROVINCIA DE BUENOS AIRES,180,Por evento
34265629,INTERCAM CORRETORA DE CÂMBIO LTDA.,150,Por evento
2015588,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.,120,Por evento
4913129,CONFIDENCE CORRETORA DE CÂMBIO S.A.,100,Por evento
41931445,COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR,100,Por evento
58497702,BANCO LETSBANK S.A.,100,Por evento
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,100,Por evento
460065,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,100,Por evento
3443143,AVIPAM CORRETORA DE CAMBIO LTDA,100,Por evento
58160789,BANCO SAFRA S.A.,99,Por evento
62232889,BANCO DAYCOVAL S.A.,"81,31",Por evento
71027866,BANCO BS2 S.A.,80,Por evento
0,BANCO DO BRASIL S.A.,80,Por evento
21040668,GLOBAL EXCHANGE DO BRASIL SOCIEDADE CORRETORA DE CÂMBIO LTDA.,80,Por evento
92702067,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,80,Por evento
4913711,BANCO DO ESTADO DO PARÁ S.A.,70,Por evento
17354911,COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,60,Por evento
208,BRB - BANCO DE BRASILIA S.A.,60,Por evento
90400888,BANCO SANTANDER (BRASIL) S.A.,50,Por evento
27842177,"IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",50,Por evento
60518222,BANCO SUMITOMO MITSUI BRASILEIRO S.A.,50,Por evento
360305,CAIXA ECONOMICA FEDERAL,50,Por evento
25280945,AVS CORRETORA DE CÂMBIO LTDA.,50,Por evento
17904906,BRX CORRETORA DE CÂMBIO LTDA.,50,Por evento
61033106,BANCO CREFISA S.A.,50,Por evento
70937271,COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA ÁREA DA SAÚDE E DE LIVRE ADMISSÃO LTDA - UNICRED ALIANÇA,50,Por evento
78834975,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,50,Por evento
