Cnpj,RazaoSocial,ValorMaximo,Periodicidade
11285104,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",1000,A cada 30 dias
9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1000,A cada 30 dias
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,300,A cada 30 dias
20269566,VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,200,A cada 365 dias
2641969,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC,150,A cada 30 dias
42934794,COOPERATIVA DE CRÉDITO CREDIPIMENTA LTDA. - SICOOB CREDIPIMENTA,100,A cada 120 dias
31880826,BANCO GUANABARA S.A.,100,A cada 30 dias
33479023,BANCO CITIBANK S.A.,100,A cada 30 dias
42887133,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO,100,A cada 365 dias
3941182,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS,50,A cada 30 dias
7853842,UNIPRIME OURO - COOPERATIVA DE CRÉDITO DE OURO,50,A cada 30 dias
5040481,BANCO DE LAGE LANDEN BRASIL S.A.,50,A cada 30 dias
122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",50,A cada 30 dias
58616418,BANCO FIBRA S.A.,50,A cada 30 dias
3632872,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.,30,A cada 30 dias
33644196,BANCO FATOR S.A.,30,A cada 30 dias
28195667,BANCO ABC BRASIL S.A.,30,A cada 30 dias
5442029,CASA DO CRÉDITO S.A. SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR,30,A cada 180 dias
60889128,BANCO SOFISA S.A.,25,A cada 90 dias
62073200,BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.,25,A cada 30 dias
61820817,BANCO PAULISTA S.A.,22,A cada 30 dias
62232889,BANCO DAYCOVAL S.A.,"20,09",A cada 30 dias
25606237,COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE,20,A cada 30 dias
94433109,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE,20,A cada 30 dias
1152097,COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA,20,A cada 30 dias
5841967,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,20,A cada 30 dias
1634601,COOPERATIVA CENTRAL DE CRÉDITO UNICRED GERAÇÃO LTDA. - UNICRED CENTRAL GERAÇÃO,20,A cada 30 dias
80271455,BANCO RNX S.A.,20,A cada 10 dias
61033106,BANCO CREFISA S.A.,20,A cada 30 dias
31895683,BANCO INDUSTRIAL DO BRASIL S.A.,20,A cada 30 dias
7509426,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL XANXERÊ,20,A cada 30 dias
85291086,COOPERATIVA DE CRÉDITO LITORÂNEA,20,A cada 60 dias
86585049,COOPERATIVA DE CRÉDITO DA REGIÃO DO VALE DO RIO GRANDE LTDA. - SICOOB CREDILEITE,20,A cada 60 dias
71027866,BANCO BS2 S.A.,"19,5",A cada 30 dias
81607046,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS,17,A cada 30 dias
78632767,BANCO OURINVEST S.A.,17,A cada 30 dias
4281182,COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO,"15,99",A cada 90 dias
17184037,BANCO MERCANTIL DO BRASIL S.A.,"15,5",A cada 30 dias
8055016,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL INTERAÇÃO,15,A cada 30 dias
81367880,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC,15,A cada 30 dias
33923798,BANCO MASTER S/A,15,A cada 30 dias
2663426,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL NOROESTE,15,A cada 30 dias
61024352,BANCO VOITER S.A.,15,A cada 30 dias
3862898,COOPERATIVA DE ECONOMIA E CRÉDITO DE LIVRE ADMISSÃO DOS EMPREGADOS DOS CORREIOS LTDA. - SICOOB COOPERCORREIOS,15,A cada 15 dias
3459850,COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO,14,A cada 30 dias
4355489,COOPERATIVA DE CRÉDITO UNICRED COOMARCA LTDA. - COOMARCA,"13,73",A cada 30 dias
75847,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,"13,73",A cada 30 dias
73443863,COOPERATIVA DE CRÉDITO UNICRED VALE LTDA - UNICRED VALE,"13,73",A cada 30 dias
74114042,COOPERATIVA DE CRÉDITO UNICRED UNIÃO LTDA - UNICRED UNIÃO,"13,73",A cada 30 dias
74064502,COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL,"13,73",A cada 30 dias
1039011,COOPERATIVA DE CRÉDITO UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA,"13,73",A cada 30 dias
7945233,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,13,A cada 90 dias
1667352,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SERTÃO DE MINAS GERAIS LTDA. - SICOOB SERTÃO MINAS,13,A cada 30 dias
17351180,BANCO TRIANGULO S.A.,"12,9",A cada 30 dias
24431221,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRANSAMAZÔNICA - CRESOL TRANSAMAZÔNICA,"12,09",A cada 30 dias
4565791,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ARATIBA - CRESOL ARATIBA,12,A cada 30 dias
