Cnpj,RazaoSocial,ValorMaximo,Periodicidade
27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",50000,A cada 365 dias
12599971,"CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO",50000,A cada 180 dias
4307598,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.,30000,A cada 180 dias
80271455,BANCO RNX S.A.,5000,A cada 365 dias
2929977,AGENCIA DE FOMENTO DO AMAPA S.A.,4500,A cada 90 dias
22639377,"SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",4000,A cada 365 dias
92816560,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,4000,A cada 365 dias
34991938,"SIMPALA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3500,A cada 365 dias
33588252,BANCO INDUSCRED DE INVESTIMENTO S.A.,3000,A cada 180 dias
162760,MERCEDES-BENZ LEASING DO BRASIL ARRENDAMENTO MERCANTIL S.A.,2900,A cada 360 dias
60814191,BANCO MERCEDES-BENZ DO BRASIL S.A.,2900,A cada 360 dias
28517628,BANCO PACCAR S.A.,2800,A cada 365 dias
23511655,DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.,2500,A cada 360 dias
5503849,"SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",2500,A cada 180 dias
11581339,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.,2000,A cada 365 dias
59118133,BANCO LUSO BRASILEIRO S.A.,2000,A cada 180 dias
9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",2000,A cada 360 dias
58616418,BANCO FIBRA S.A.,2000,A cada 180 dias
62816426,SOCIÉTÉ GÉNÉRALE EQUIPMENT FINANCE S.A. - ARRENDAMENTO MERCANTIL,1970,A cada 365 dias
36583700,"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1500,A cada 365 dias
556603,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,1500,A cada 360 dias
92764489,"CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS",1500,A cada 180 dias
5040481,BANCO DE LAGE LANDEN BRASIL S.A.,1500,A cada 180 dias
11165756,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,1500,A cada 365 dias
14511781,BARI COMPANHIA HIPOTECÁRIA,1500,A cada 360 dias
3058464,AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A,1470,A cada 360 dias
62237425,BANCO FIDIS S/A,1300,A cada 180 dias
62232889,BANCO DAYCOVAL S.A.,"1240,94",A cada 180 dias
5940203,AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.,1200,A cada 180 dias
2885855,BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS,1200,A cada 365 dias
78632767,BANCO OURINVEST S.A.,1100,A cada 360 dias
11285104,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",1000,A cada 180 dias
60770336,BANCO ALFA DE INVESTIMENTO S.A.,1000,A cada 365 dias
50585090,BCV - BANCO DE CRÉDITO E VAREJO S.A.,1000,A cada 180 dias
34265561,BMG LEASING S.A. ARRENDAMENTO MERCANTIL,1000,A cada 360 dias
3323840,BANCO ALFA S.A.,1000,A cada 365 dias
46570800,ALFA ARRENDAMENTO MERCANTIL S.A.,1000,A cada 365 dias
9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1000,A cada 180 dias
17167412,"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1000,A cada 365 dias
31880826,BANCO GUANABARA S.A.,1000,A cada 180 dias
33644196,BANCO FATOR S.A.,1000,A cada 360 dias
14388334,PARANÁ BANCO S.A.,1000,A cada 180 dias
55230916,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO,1000,A cada 360 dias
10808037,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE MANAUS - SICOOB CREDEMPRESAS-AM,1000,A cada 360 dias
28195667,BANCO ABC BRASIL S.A.,1000,A cada 180 dias
61186680,BANCO BMG S.A.,1000,A cada 60 dias
33603457,BANCO RODOBENS S.A.,900,A cada 365 dias
411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",800,A cada 180 dias
31895683,BANCO INDUSTRIAL DO BRASIL S.A.,800,A cada 180 dias
38486817,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG,750,A cada 360 dias
68900810,BANCO RENDIMENTO S.A.,700,A cada 360 dias
71027866,BANCO BS2 S.A.,700,A cada 180 dias
7512441,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS",600,A cada 360 dias
5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",600,A cada 180 dias
61820817,BANCO PAULISTA S.A.,600,A cada 360 dias
60889128,BANCO SOFISA S.A.,600,A cada 180 dias
62109566,CREDISAN COOPERATIVA DE CRÉDITO,550,A cada 180 dias
4316357,SOCIALCRED S/A - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE,500,A cada 180 dias
62144175,BANCO PINE S.A.,500,A cada 180 dias
17359351,STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,500,A cada 365 dias
5841967,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,500,A cada 360 dias
36947229,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",500,A cada 90 dias
10664513,BANCO AGIBANK S.A.,500,A cada 180 dias
517645,BANCO RIBEIRAO PRETO S.A.,500,A cada 180 dias
42887133,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO,500,A cada 365 dias
10663610,DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.,500,A cada 360 dias
416968,BANCO INTER S.A.,500,A cada 180 dias
91669747,"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",450,A cada 180 dias
64237530,COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA,400,A cada 360 dias
92874270,BANCO DIGIMAIS S.A.,350,A cada 180 dias
43818780,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.,350,A cada 180 dias
67030395,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,300,A cada 180 dias
33923798,BANCO MASTER S/A,300,A cada 180 dias
58497702,BANCO LETSBANK S.A.,300,A cada 180 dias
61033106,BANCO CREFISA S.A.,300,A cada 180 dias
