Cnpj,RazaoSocial,ValorMaximo,Periodicidade
80202872,CORREPARTI CORRETORA DE CAMBIO LTDA,2000,Por evento
4062902,OZ CORRETORA DE CÂMBIO S.A.,1500,Por evento
14388334,PARANÁ BANCO S.A.,1050,Por evento
58616418,BANCO FIBRA S.A.,1050,Por evento
4833655,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED,500,Por evento
68900810,BANCO RENDIMENTO S.A.,350,Por evento
15168152,CONSEGTUR CORRETORA DE CÂMBIO LTDA.,350,Por evento
78632767,BANCO OURINVEST S.A.,350,Por evento
13728156,WESTERN UNION CORRETORA DE CÂMBIO S.A.,250,Por evento
13720915,BANCO WESTERN UNION DO BRASIL S.A.,250,Por evento
16854999,SINGRATUR CORRETORA DE CÂMBIO LTDA,200,Por evento
40353377,FOURTRADE CORRETORA DE CÂMBIO LTDA.,200,Por evento
45056494,MARMARIS CORRETORA DE CÂMBIO LTDA.,200,Por evento
62285390,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,200,Por evento
44189447,BANCO DE LA PROVINCIA DE BUENOS AIRES,180,Por evento
58497702,BANCO LETSBANK S.A.,150,Por evento
4684647,"ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.",150,Por evento
15482499,TURCÂMBIO - CORRETORA DE CÂMBIO LTDA.,125,Por evento
4913129,CONFIDENCE CORRETORA DE CÂMBIO S.A.,100,Por evento
41931445,COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR,100,Por evento
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,100,Por evento
3443143,AVIPAM CORRETORA DE CAMBIO LTDA,100,Por evento
25404542,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG,100,Por evento
58160789,BANCO SAFRA S.A.,99,Por evento
62232889,BANCO DAYCOVAL S.A.,"81,31",Por evento
0,BANCO DO BRASIL S.A.,80,Por evento
17354911,COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,60,Por evento
77162881,DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,60,Por evento
27842177,"IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",50,Por evento
6373777,BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.,50,Por evento
18287740,CONECTA CORRETORA DE CÂMBIO LTDA.,50,Por evento
17904906,BRX CORRETORA DE CÂMBIO LTDA.,50,Por evento
14190547,CAMBIONET CORRETORA DE CÂMBIO LTDA.,50,Por evento
71027866,BANCO BS2 S.A.,40,Por evento
86564051,COOPERATIVA DE CRÉDITO NOROESTE DE MINAS LTDA. - SICOOB NOROESTE DE MINAS,35,Por evento
78834975,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,35,Por evento
90400888,BANCO SANTANDER (BRASIL) S.A.,30,Por evento
60701190,ITAÚ UNIBANCO S.A.,30,Por evento
70937271,COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA ÁREA DA SAÚDE E DE LIVRE ADMISSÃO LTDA - UNICRED ALIANÇA,30,Por evento
