Cnpj,RazaoSocial,ValorMaximo,Periodicidade
556603,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,50000,Por evento
14511781,BARI COMPANHIA HIPOTECÁRIA,50000,Por evento
27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",50000,Por evento
12599971,"CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO",50000,Por evento
60850229,OMNI BANCO S.A.,20000,Por evento
795423,BANCO SEMEAR S.A.,20000,Por evento
20443996,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",10000,Por evento
23511655,DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.,10000,Por evento
80271455,BANCO RNX S.A.,10000,Por evento
9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",10000,Por evento
62109566,CREDISAN COOPERATIVA DE CRÉDITO,7700,Por evento
4307598,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.,6000,Por evento
4316357,SOCIALCRED S/A - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE,5000,Por evento
15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,5000,Por evento
61186680,BANCO BMG S.A.,5000,Por evento
2929977,AGENCIA DE FOMENTO DO AMAPA S.A.,4500,Por evento
92874270,BANCO DIGIMAIS S.A.,4000,Por evento
22639377,"SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",4000,Por evento
46570800,ALFA ARRENDAMENTO MERCANTIL S.A.,4000,Por evento
17167412,"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",4000,Por evento
59118133,BANCO LUSO BRASILEIRO S.A.,4000,Por evento
92816560,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,4000,Por evento
34991938,"SIMPALA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3500,Por evento
8075352,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS E EMPREGADOS DOS TRANSPORTES E CORREIOS DO SUL DO BRASIL - TRANSPOCRED,3500,Por evento
48795256,BANCO ANDBANK (BRASIL) S.A.,3000,Por evento
5040481,BANCO DE LAGE LANDEN BRASIL S.A.,3000,Por evento
2658435,BANCO CATERPILLAR S.A.,3000,Por evento
33588252,BANCO INDUSCRED DE INVESTIMENTO S.A.,3000,Por evento
15114366,BANCO BOCOM BBM S.A.,3000,Por evento
162760,MERCEDES-BENZ LEASING DO BRASIL ARRENDAMENTO MERCANTIL S.A.,2900,Por evento
33603457,BANCO RODOBENS S.A.,2900,Por evento
60814191,BANCO MERCEDES-BENZ DO BRASIL S.A.,2900,Por evento
28517628,BANCO PACCAR S.A.,2800,Por evento
517645,BANCO RIBEIRAO PRETO S.A.,2500,Por evento
5503849,"SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",2500,Por evento
23903068,BANCO KOMATSU DO BRASIL S.A.,2200,Por evento
11285104,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",2000,Por evento
5351887,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",2000,Por evento
11581339,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.,2000,Por evento
33136888,"BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A",2000,Por evento
2885855,BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS,2000,Por evento
31880826,BANCO GUANABARA S.A.,2000,Por evento
55230916,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO,2000,Por evento
655522,ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX,2000,Por evento
62816426,SOCIÉTÉ GÉNÉRALE EQUIPMENT FINANCE S.A. - ARRENDAMENTO MERCANTIL,1970,Por evento
61533584,BANCO SOCIETE GENERALE BRASIL S.A.,1970,Por evento
60770336,BANCO ALFA DE INVESTIMENTO S.A.,1950,Por evento
3323840,BANCO ALFA S.A.,1950,Por evento
7207996,BANCO BRADESCO FINANCIAMENTOS S.A.,1750,Por evento
36658769,BANCO XCMG BRASIL S.A.,1600,Por evento
92228410,OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO,1500,Por evento
36583700,"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1500,Por evento
1852137,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA,1500,Por evento
92764489,"CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS",1500,Por evento
7631026,"GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1500,Por evento
11165756,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,1500,Por evento
31895683,BANCO INDUSTRIAL DO BRASIL S.A.,1500,Por evento
62237425,BANCO FIDIS S/A,1500,Por evento
59285411,BANCO PAN S.A.,1500,Por evento
2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,1400,Por evento
4452473,"BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",1400,Por evento
60872983,BMW LEASING DO BRASIL S.A. - ARRENDAMENTO MERCANTIL,1400,Por evento
62307848,BANCO RCI BRASIL S.A.,1300,Por evento
59588111,BANCO VOTORANTIM S.A.,1300,Por evento
7707650,"AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",1200,Por evento
30172491,BANCO HYUNDAI CAPITAL BRASIL S.A.,1150,Por evento
3502961,BANCO PSA FINANCE BRASIL S.A.,1099,Por evento
18846364,OMNI S.A. ARRENDAMENTO MERCANTIL,1000,Por evento
50585090,BCV - BANCO DE CRÉDITO E VAREJO S.A.,1000,Por evento
34265561,BMG LEASING S.A. ARRENDAMENTO MERCANTIL,1000,Por evento
68900810,BANCO RENDIMENTO S.A.,1000,Por evento
71027866,BANCO BS2 S.A.,1000,Por evento
17359351,STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,1000,Por evento
11760553,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1000,Por evento
4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1000,Por evento
558456,BANCO CETELEM S.A.,1000,Por evento
17502881,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CEMIG E DAS INDÚSTRIAS METALÚRGICAS E DE MATERIAL ELÉTRICO E DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JUIZ DE FORA LTDA. - SICOOB CECREMEC,1000,Por evento
