Cnpj,RazaoSocial,ValorMaximo,Periodicidade
40353377,FOURTRADE CORRETORA DE CÂMBIO LTDA.,10000,Por evento
7333726,ONNIX CORRETORA DE CÂMBIO LTDA.,1500,Por evento
31872495,BANCO C6 S.A.,1500,Por evento
31895683,BANCO INDUSTRIAL DO BRASIL S.A.,1100,Por evento
34111187,HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.,1000,Por evento
78858107,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE -  SICOOB - CREDIAL SC/RS,1000,Por evento
61033106,BANCO CREFISA S.A.,1000,Por evento
53518684,BANCO HSBC S.A.,1000,Por evento
3443143,AVIPAM CORRETORA DE CAMBIO LTDA,1000,Por evento
45246410,BANCO GENIAL S.A.,800,Por evento
30723886,BANCO MODAL S.A.,750,Por evento
13728156,WESTERN UNION CORRETORA DE CÂMBIO S.A.,700,Por evento
13720915,BANCO WESTERN UNION DO BRASIL S.A.,700,Por evento
60498557,BANCO MUFG BRASIL S.A.,640,Por evento
62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,600,Por evento
4913129,CONFIDENCE CORRETORA DE CÂMBIO S.A.,500,Por evento
33172537,BANCO J.P. MORGAN S.A.,500,Por evento
5841967,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,500,Por evento
18287740,CONECTA CORRETORA DE CÂMBIO LTDA.,500,Por evento
7679404,BANCO TOPÁZIO S.A.,500,Por evento
460065,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,500,Por evento
59118133,BANCO LUSO BRASILEIRO S.A.,500,Por evento
8609934,MONEYCORP BANCO DE CÂMBIO S.A.,500,Por evento
33479023,BANCO CITIBANK S.A.,500,Por evento
62073200,BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.,500,Por evento
78834975,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,500,Por evento
416968,BANCO INTER S.A.,500,Por evento
7450604,CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A,450,Por evento
60746948,BANCO BRADESCO S.A.,450,Por evento
15357060,BANCO WOORI BANK DO BRASIL S.A.,450,Por evento
36658769,BANCO XCMG BRASIL S.A.,450,Por evento
60701190,ITAÚ UNIBANCO S.A.,450,Por evento
62285390,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,400,Por evento
62232889,BANCO DAYCOVAL S.A.,"356,59",Por evento
92894922,BANCO ORIGINAL S.A.,350,Por evento
68900810,BANCO RENDIMENTO S.A.,350,Por evento
71027866,BANCO BS2 S.A.,350,Por evento
8520517,SOL CORRETORA DE CÂMBIO LTDA.,350,Por evento
78632767,BANCO OURINVEST S.A.,350,Por evento
54401286,COOPERATIVA DE CRÉDITO COCRE,300,Por evento
59588111,BANCO VOTORANTIM S.A.,300,Por evento
2992317,TREVISO CORRETORA DE CÂMBIO S.A.,300,Por evento
60770336,BANCO ALFA DE INVESTIMENTO S.A.,300,Por evento
62144175,BANCO PINE S.A.,300,Por evento
28811341,STONEX BANCO DE CÂMBIO S.A.,300,Por evento
3323840,BANCO ALFA S.A.,300,Por evento
6373777,BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.,300,Por evento
52937216,BEXS CORRETORA DE CÂMBIO S/A,300,Por evento
73622748,B&T CORRETORA DE CAMBIO LTDA.,300,Por evento
33851064,DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,300,Por evento
58497702,BANCO LETSBANK S.A.,300,Por evento
10853017,GET MONEY CORRETORA DE CÂMBIO S.A.,300,Por evento
4684647,"ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.",300,Por evento
17312083,H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS,300,Por evento
17184037,BANCO MERCANTIL DO BRASIL S.A.,300,Por evento
58616418,BANCO FIBRA S.A.,300,Por evento
89784367,EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,295,Por evento
74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,270,Por evento
